fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,0.0710127751547273,0.9628875781218504,0.9385275720789883,0.13269422363710026, 2.3102904200553893
0,1,0.05617648543794734,0.9779568280157047,0.976154269260604,0.06380088478295119, 2.3582223614056903
0,2,0.061010495380603005,0.9749173801624565,0.9854431398343036,0.05344027618471324, 2.2756384213765464
0,3,0.05076135259967449,0.9783890544208114,0.9888429509734928,0.04855272074215761, 2.2835737188657124
0,4,0.050557211418612386,0.978560581161673,0.9930271317480753,0.04284657121692993, 2.2090387026468914
0,5,0.04953667982267596,0.9812559264399817,0.9855543304704327,0.0629184494012029, 2.261999583244324
0,6,0.05343990498733213,0.9763882088516791,0.9888739140836585,0.057984085348284274, 2.2223368883132935
0,7,0.05172184426978953,0.9772387986443919,0.9923441440153646,0.0573234962864516, 2.2582717100779215
0,8,0.05209713823539775,0.9754584125211373,0.9961902504438296,0.04565916413169665, 2.282693322499593
0,9,0.05310535554718274,0.9753831026152546,0.9974231103589556,0.044215998977231066, 2.223958702882131
0,10,0.053395052607960014,0.9752679271671529,0.9929048620329792,0.07782219506845316, 2.2512613336245217
0,11,0.05060976518529505,0.9770655483932464,0.9944334125695733,0.07841046639523298, 2.2678993225097654
1,0,0.06651227154925808,0.9718813793297763,0.9427719880565864,0.12297070944336477, 2.1723512331644694
1,1,0.050267091494918405,0.979364561241491,0.977520877816252,0.06557574617552894, 2.2926815152168274
1,2,0.04728495452983058,0.9789778579884477,0.982891802881027,0.055081995292590474, 2.2722559928894044
1,3,0.0480699994873341,0.9785894312251204,0.989375883827277,0.04769424501874604, 2.261846117178599
1,4,0.04853620528058168,0.9786134854338653,0.9923314780457638,0.04405370672458314, 2.207067592938741
1,5,0.04895614078612903,0.9765704513303927,0.9873475002265798,0.061008575565631495, 2.2584314862887065
1,6,0.05231283165333907,0.9766543038524651,0.9900832455337151,0.05792782934470463, 2.2632601221402484
1,7,0.05188963328766143,0.9751137853995898,0.9933724741365982,0.055825635929612545, 2.2633682608604433
1,8,0.05352585318133624,0.9777852638072282,0.9958904822214936,0.046381727671947606, 2.254027764002482
