fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.0956456860745972,0.9487160522802116,0.9123016220104813,2.231278892358144
0,1,0.07860572960783671,0.9653133813788052,0.9757487041642675,2.22578315337499
0,2,0.08417326746964637,0.9573799886068478,0.9896214020482801,2.2245957334836324
1,0,0.14185577397928478,0.9660506691041597,0.9057059547467107,2.2048547983169557
1,1,0.18705059764597906,0.9706125760199171,0.9755791484403322,2.2518633286158245
1,2,0.08514040584256635,0.9688692828353812,0.9882650145677392,2.160863510767619
2,0,0.10158353888581755,0.9565029535052402,0.9111156178615657,2.175369644165039
2,1,0.19899769328779313,0.9585529114194405,0.9747231774753766,2.213539441426595
2,2,0.09073726304780635,0.9565352377832692,0.9902791144354169,2.299683328469594
3,0,0.08563063210898023,0.9640607484929519,0.9100359096124926,2.2745618422826133
3,1,0.07377674734714079,0.9696229040591904,0.9737716158039739,2.2660141150156656
3,2,0.07580466477475985,0.9727678885097352,0.9878496558372729,2.2461127320925396
Final OOF ROC AUC SCORE: 0.9641795835225075
fold,epoch,val_loss,val_auc,tr_auc, time
Final OOF ROC AUC SCORE: 0.9641795835225075
