fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.510308027267456,1.0,0.5555555555555556,1.0098651806513468
0,1,0.5145835280418396,1.0,0.6666666666666667,0.007191932201385498
0,2,0.5056272745132446,1.0,0.888888888888889,0.00739742120107015
0,3,0.5766623020172119,1.0,1.0,0.007180647055308024
0,4,0.5267075896263123,1.0,1.0,0.022556571165720622
0,5,0.5946267247200012,1.0,1.0,0.008153172334035237
0,6,0.5934147238731384,1.0,1.0,0.014165945847829183
1,0,0.8476660847663879,0.0,0.4444444444444444,0.007210246721903483
1,1,1.136741042137146,0.0,0.888888888888889,0.007465926806131998
1,2,1.1193838119506836,0.0,0.888888888888889,0.007189929485321045
1,3,1.0802931785583496,0.0,1.0,0.007465298970540365
1,4,1.1510365009307861,0.0,1.0,0.014291695753733317
1,5,1.2854933738708496,0.0,1.0,0.021652595202128092
1,6,1.3990793228149414,0.0,1.0,0.007502202192942301
2,0,0.7831547260284424,0.0,0.3333333333333333,0.007495856285095215
2,1,0.7692407369613647,0.0,0.7222222222222223,0.007465545336405436
2,2,0.7980104684829712,0.0,1.0,0.007925629615783691
2,3,0.6488252282142639,1.0,0.7777777777777778,0.007795123259226481
2,4,0.6489410400390625,1.0,1.0,0.013584121068318685
2,5,0.5197972059249878,1.0,1.0,0.008272993564605712
2,6,0.4123362898826599,1.0,1.0,0.007555079460144043
3,0,0.7136871814727783,0.0,0.4444444444444445,0.007432925701141358
3,1,0.7478877305984497,0.0,0.888888888888889,0.006939450899759929
3,2,0.776543378829956,0.0,1.0,0.007454478740692138
3,3,0.8584761619567871,0.0,1.0,0.007420396804809571
3,4,0.7853115797042847,0.0,1.0,0.007558488845825195
3,5,0.9710181355476379,0.0,1.0,0.007278839747111003
3,6,0.8291122913360596,0.0,1.0,0.007260624567667643
Final OOF ROC AUC SCORE: 0.75
