fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,0.11487563066564653,0.9568017134389889,0.7254842307220694,0.25758713820226947, 1.4113203446070353
0,1,0.09931950072748397,0.9746387709783051,0.826799042501013,0.19037883588410662, 1.410531214872996
0,2,0.08666158259646702,0.9782527472379249,0.8422850583709189,0.17974902493847522, 1.3975977301597595
0,3,0.08753775205102046,0.9784839973568846,0.8411328883042246,0.17149864812539953, 1.4389424880345663
0,4,0.08353224621458473,0.9799944667826364,0.8575100869599408,0.16507931628112435, 1.4608519832293192
0,5,0.07316003282487925,0.9816037757764077,0.8502655438644894,0.1631577730782292, 1.461295747756958
0,6,0.07199367616629722,0.9791835926616828,0.8518343664366216,0.15870374721731534, 1.451701279481252
0,7,0.07960212548329894,0.9811619576618951,0.8515630289635446,0.15893953794622984, 1.4613147934277853
0,8,0.0751526611310677,0.9800402522080041,0.8479877851904868,0.1567236721843519, 1.4725945870081583
0,9,0.06622253217477808,0.9827004528635674,0.8634820229032052,0.15786016084329815, 1.4475470304489135
0,10,0.07946148199475922,0.9783926513118386,0.8614165618735738,0.15284272973175433, 1.4514480789502462
0,11,0.07482361288655702,0.9792113186966844,0.8664633988881602,0.15243101503967693, 1.486065940062205
0,12,0.06874126915781929,0.9806620647443383,0.8744369703700446,0.15034208767477195, 1.4945909023284911
0,13,0.06735405751161885,0.9829164911308912,0.8671809941649073,0.14692004066796935, 1.4477155447006225
0,14,0.06194380276161721,0.983233092476518,0.869173683139008,0.14830706299117888, 1.4822696606318155
0,15,0.06463708814556654,0.9838216337708503,0.8734559179275159,0.14938517204972085, 1.4838150898615519
0,16,0.07060491697083475,0.9831371753824582,0.8706366963419379,0.14491862035871222, 1.4746823867162069
0,17,0.06499328477574247,0.9842214881567116,0.8632037339328366,0.14412539880279274, 1.4502530376116434
0,18,0.06372053033140089,0.9839969822084281,0.8661720565969335,0.14172836975867664, 1.4613815665245056
0,19,0.0681408014937247,0.9842979220910406,0.8493554141876187,0.14280753533536455, 1.4365718682607016
0,20,0.06607320358292484,0.984091475533123,0.8704737797352483,0.14398736280640967, 1.4544489502906799
