fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,0.07542283536078721,0.9696631927752009,0.9558441022917205,0.09880335614542446, 6.3743107994397485
0,1,0.057799453216329295,0.9737291953143826,0.9774399846187884,0.056951589505843, 5.2347896258036295
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,0.07317360118150293,0.9655741122155258,0.9540595643745019,0.09960086928788314, 2.1761226256688437
0,1,0.055045331147622924,0.9780823243942469,0.9839359307232367,0.05194212655362662, 2.066584610939026
0,2,0.05872956170386882,0.9761490156774689,0.9792614927572354,0.05894318937919252, 2.0277989506721497
0,3,0.05683660188901276,0.976372677661795,0.9879625567798621,0.04352871572123718, 2.0484909693400066
0,4,0.08048035123751365,0.9557276275075619,0.982525514284267,0.05285239536944175, 2.048067931334178
0,5,0.05240250327529348,0.9811880415092665,0.986226505832598,0.04367482859923655, 2.059654899438222
0,6,0.056231707810870925,0.9752390822980194,0.984933214519917,0.048527392457899055, 2.048405162493388
0,7,0.05351737633671811,0.980689728602479,0.9907808363966912,0.03691047128236846, 2.0896984418233235
0,8,0.06061829656970744,0.9770829262210671,0.9890954716393919,0.04518837862198666, 2.030054545402527
0,9,0.04603457022476134,0.9840608054888526,0.9936027480586885,0.03490241000190508, 2.0168799996376037
1,0,0.06431362457449871,0.9729145781251032,0.9533899938575077,0.10297862815536973, 2.068095298608144
1,1,0.04914585516042057,0.9806280083247694,0.9799705834596686,0.054835707976025105, 2.0814665158589682
1,2,0.05800065500376632,0.9785870870087164,0.9806215259329782,0.058640311759972974, 2.0399924914042153
1,3,0.04651856429551785,0.9828362004471953,0.9866799762748237,0.046757295101230056, 2.066147867838542
1,4,0.046282144890010014,0.9828838581909525,0.9849153994227837,0.05161409015191509, 2.0223028580347697
1,5,0.048761946810243116,0.9834132303596101,0.9911399728022089,0.039665719319501136, 2.0737613956133525
1,6,0.04494145844364539,0.9837250492400857,0.9859590993130779,0.050553423153104404, 2.1608487248420714
1,7,0.03879096256972918,0.9850257194332005,0.9914761455354567,0.036549201170032575, 2.0193251967430115
1,8,0.049670237898606834,0.9837880429533132,0.9894067717388183,0.04439016323226497, 2.0709900220235187
1,9,0.04180452020301921,0.9843597858933679,0.99366103719921,0.033181080325626056, 2.0636599540710447
2,0,0.06827695897723339,0.9748560593652754,0.952868468704864,0.10117247838644516, 2.1254961172739666
2,1,0.05527911512466262,0.9787043003108289,0.9799066159924847,0.055322164480458014, 2.031287682056427
2,2,0.06446494745822358,0.9768213882254552,0.978452224309398,0.06048629830846153, 2.0433045188585917
2,3,0.051566772940402315,0.982087812636299,0.9865800109718239,0.04536017192569375, 2.029156223932902
2,4,0.0614175916570999,0.9679539731934752,0.9815117530373075,0.054064110422956446, 2.0610118389129637
2,5,0.05176358220698454,0.983214425200365,0.9893038541552408,0.039913467741797604, 2.1038277467091877
2,6,0.059009838209021837,0.9745525646540475,0.9860029213170257,0.04787866455997403, 2.126202853520711
2,7,0.04938498826261505,0.982492547243785,0.9917846734298403,0.03727305969992756, 2.103678997357686
2,8,0.04751823818529671,0.9837115130909935,0.9879690569015896,0.04427089509331239, 2.094822080930074
2,9,0.050970352830499534,0.9802861924379948,0.9941296961258824,0.031556577041314426, 2.0510006308555604
3,0,0.07576437741731845,0.9666458046987088,0.9565433498536562,0.0977024702983158, 2.0545338948567706
3,1,0.06370348526385841,0.9727100131001769,0.9829892779506003,0.051559188045587234, 2.080376120408376
3,2,0.06666905165600058,0.960044460570506,0.9792917353069754,0.05950301427819227, 2.062415909767151
3,3,0.062170548791574236,0.9702587318651124,0.98698879630222,0.04287592945067331, 2.067163622379303
3,4,0.06310748405414823,0.973725085722156,0.9859579713056853,0.048674572728472754, 2.083269389470418
3,5,0.05584104075357888,0.9740278989855119,0.9902062233102489,0.04053870831833706, 2.067362105846405
3,6,0.06967703864211217,0.9732328736656473,0.987769750582443,0.04569172953377176, 2.0288551489512128
3,7,0.05975241490493633,0.9781899515154077,0.9921185389810313,0.03574223908010765, 2.0568026661872865
3,8,0.06198732536143566,0.9803719904700373,0.9894358774563901,0.04223757602824918, 2.1031903584798175
3,9,0.04906879403011883,0.9829792119181785,0.9939218964917471,0.03160173844133851, 2.0702274799346925
