fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,nan,nan,4.051825309717489e+21,nan,nan,17042328.47107764, 2.4490145087242126
0,1,nan,nan,257272997.52632982,nan,nan,13810174.118611654, 1.7726959546407064
0,2,nan,nan,127784.21969791334,nan,nan,2107591.7439811863, 1.7635444521903991
0,3,nan,nan,1.3676115608638457e+25,2240432.2763605444,2240256.810905612,175466.99789574032, 1.7577821731567382
0,4,nan,nan,828608349.4913952,nan,nan,2212390.0325952647, 1.7951566696166992
0,5,nan,nan,inf,2330472.503082483,2330274.6526360544,197850.51748262782, 1.8050583362579347
0,6,nan,nan,1.4059952067428501e+30,2315821.9894770407,2315513.423681973,308566.84788627364, 1.7438854654630025
0,7,nan,nan,inf,2298408.273809524,2296064.423681973,2343850.6691437806, 1.7832444548606872
0,8,nan,nan,149717839841536.25,2306602.3971088436,2306335.5159438774,266879.40417231346, 1.8170127073923747
0,9,nan,nan,9.22315957938643e+24,2299017.5722789117,2298910.1173469387,107453.33055561091, 1.7872499148050944
0,10,nan,nan,7.657447426698163e+20,2293565.2335246596,2293316.782738095,248453.32165444302, 1.771900228659312
0,11,nan,nan,2.3961663439713725e+32,2233983.9466411564,2233881.8971088436,102050.15420552986, 1.757260811328888
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,nan,nan,4.051825309717489e+21,nan,nan,17042328.47107764, 1.7750274697939554
0,1,nan,nan,257272997.52632982,nan,nan,13810174.118611654, 1.745308029651642
0,2,nan,nan,127784.21969791334,nan,nan,2107591.7439811863, 1.619433911641439
0,3,nan,nan,1.3676115608638457e+25,2240432.2763605444,2240256.810905612,175466.99789574032, 1.79439164797465
0,4,nan,nan,828608349.4913952,nan,nan,2212390.0325952647, 1.7079679290453593
0,5,nan,nan,inf,2330472.503082483,2330274.6526360544,197850.51748262782, 1.764089862505595
0,6,nan,nan,1.4059952067428501e+30,2315821.9894770407,2315513.423681973,308566.84788627364, 1.7756849686304728
0,7,nan,nan,inf,2298408.273809524,2296064.423681973,2343850.6691437806, 1.7457698980967205
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,nan,nan,4.051825309717489e+21,nan,nan,17042328.47107764, 1.7166195432345073
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,nan,nan,4.051825309717489e+21,nan,nan,17042328.47107764, 1.7584928472836812
0,1,nan,nan,257272997.52632982,nan,nan,13810174.118611654, 1.7510286887486777
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,nan,nan,4.051825309717489e+21,nan,nan,17042328.47107764, 1.7665319720904031
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,nan,nan,4.051825309717489e+21,nan,nan,17042328.47107764, 1.7664276281992595
0,1,nan,nan,257272997.52632982,nan,nan,13810174.118611654, 1.7245923121770224
0,2,nan,nan,127784.21969791334,nan,nan,2107591.7439811863, 1.7103225191434224
0,3,nan,nan,1.3676115608638457e+25,2240432.2763605444,2240256.810905612,175466.99789574032, 1.7638234853744508
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,4387561.5625,4387552.75,8828.836181640625,4356026.604166667,4356018.0625,8450.603922526041, 0.04570781787236532
0,1,4394361.625,4394354.1875,7521.5931396484375,4355150.458333333,4355141.791666667,8592.497884114584, 0.028078373273213705
0,2,4387279.625,4387272.5625,7125.7545166015625,4358347.104166667,4358338.479166667,8555.284505208334, 0.029446653525034585
0,3,4377124.8125,4377117.875,6958.7008056640625,4356859.4375,4356850.770833333,8615.974934895834, 0.029148789246877034
0,4,4380891.4375,4380884.5625,6744.5755615234375,4354724.395833333,4354715.6875,8653.028767903646, 0.02946619987487793
0,5,4379718.6875,4379712.0,6625.693359375,4353750.875,4353742.375,8486.798746744791, 0.02838949759801229
0,6,4375797.375,4375790.8125,6527.907470703125,4355092.833333333,4355084.395833333,8484.721028645834, 0.02898979981740316
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,4428943.756377551,4428936.165816327,7578.6040524852515,4444662.317389456,4444653.358418368,8961.488553624575, 1.7223187883694966
0,1,4204736.823341837,4204726.624362245,10189.956880530532,4339933.021683673,4339922.477040816,10537.606199511054, 1.7288666288057963
0,2,4021998.2665816327,4021985.9706632653,12298.365256796078,4108244.3397108843,4108230.538690476,13802.031058175224, 1.7488872051239013
0,3,3828961.329719388,3828949.7123724488,11616.41259765625,3931739.5586734693,3931725.138818027,14423.132703716252, 1.7297458569208781
0,4,3686045.633290816,3686033.40625,12234.470102738362,3758280.2468112246,3758265.9270833335,14317.404475413212, 1.77250679731369
0,5,3590890.079719388,3590877.1670918367,12907.777049784758,3644500.136904762,3644485.243197279,14894.023442482461, 1.7360330740610759
0,6,3509421.6977040814,3509408.2193877553,13476.314004703443,3558205.569727891,3558190.1666666665,15404.747550289647, 1.7369826753934225
0,7,3432820.1096938774,3432805.9477040814,14158.68939582669,3483641.774447279,3483625.789540816,15985.566299127073, 1.7700395623842875
0,8,2835234.4451530613,2835213.7551020407,20695.270515286193,3155912.275297619,3155893.9670493198,18306.006300322864, 1.7915536483128867
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,4428943.756377551,4428936.165816327,7578.6040524852515,4444662.317389456,4444653.358418368,8961.488553624575, 1.7670363465944925
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
