fold,epoch,valid_loss,valid_recon_loss, valid_kld_loss, train_loss, train_recon_loss, train_kld_loss, time
fold,epoch,valid_loss,valid_recon_loss, valid_kld_loss, train_loss, train_recon_loss, train_kld_loss, time
fold,epoch,valid_loss,valid_recon_loss, valid_kld_loss, train_loss, train_recon_loss, train_kld_loss, time
0,0,229905760.47058824,229540601.4117647,365159.14568014705,287554461.71428573,287300279.5102041,254183.2512755102, 1.4986898223559062
0,1,208194738.82352942,208003653.17647058,191083.71966911765,227132970.12244898,226778540.08163264,354429.709502551, 1.3911220709482828
0,2,194066463.29411766,193867364.0,199100.3474264706,209184339.59183672,208935720.81632653,248618.4856505102, 1.3852084438006083
0,3,185547252.94117647,185367113.88235295,180137.95151654413,198842074.4489796,198612039.83673468,230034.69451530612, 1.5455259799957275
0,4,177634552.47058824,177465497.4117647,169055.77642463235,190295562.12244898,190080421.87755102,215140.01977040817, 1.424271023273468
0,5,169992286.82352942,169834053.6470588,158234.76838235295,182206006.85714287,182001556.57142857,204450.05676020408, 1.2949957172075908
0,6,161263809.4117647,161118464.47058824,145345.2791819853,173885695.02040815,173693539.59183672,192155.44929846938, 1.5687531113624573
0,7,151369983.7647059,151231744.94117647,138237.16153492648,164237732.89795917,164058973.3877551,178758.3045280612, 1.2282774051030476
0,8,141347273.17647058,141221583.29411766,125690.49540441176,153932074.7755102,153767077.2244898,164996.44706632654, 1.2055128455162047
0,9,133450475.05882353,133336983.05882353,113490.41498161765,144934591.02040815,144781760.6530612,152828.55867346938, 1.5547088146209718
0,10,125855988.94117647,125750538.35294117,105450.5137867647,136880708.40816328,136736245.3877551,144462.53635204083, 1.2551653822263082
0,11,121841796.0,121746109.41176471,95687.49563419117,130731319.6734694,130595688.97959183,135631.14301658163, 1.179280169804891
0,12,119859086.58823529,119764252.47058824,94833.46920955883,127781459.75510204,127649262.04081632,132197.88121811225, 1.2240248640378317
0,13,118623020.94117647,118518298.35294117,104722.41544117648,126141723.59183674,126009399.8367347,132324.3131377551, 1.1827873428662619
0,14,116984715.52941176,116853206.11764705,131509.55514705883,124717263.34693877,124569003.91836734,148259.24170918367, 1.1862381021181743
0,15,112319601.41176471,112160110.11764705,159490.90349264705,121439045.2244898,121248771.10204081,190273.69961734695, 1.1803994655609131
0,16,106261159.52941176,106067375.05882353,193784.69393382352,114963032.3265306,114734690.6122449,228341.86957908163, 1.176620598634084
0,17,101242387.29411764,101020430.8235294,221956.1112132353,108730387.59183674,108458235.91836734,272151.8587372449, 1.1745871305465698
0,18,97957586.8235294,97676592.70588236,280993.89384191175,104467640.81632653,104149759.8367347,317881.01785714284, 1.1740798314412435
0,19,95820341.29411764,95530238.35294117,290102.42647058825,101786282.6122449,101438539.91836734,347742.7838010204, 1.1774173855781556
0,20,93931107.88235295,93593296.23529412,337811.24908088235,99575706.44897959,99182848.81632653,392857.0905612245, 1.18121417760849
0,21,92476474.47058824,92141145.05882353,335329.32352941175,97852888.97959183,97428816.97959183,424071.9942602041, 1.1815943400065103
0,22,90988303.05882353,90609533.05882353,378769.5799632353,96354222.20408164,95911028.08163266,443193.7308673469, 1.1768534104029338
0,23,89910632.23529412,89522751.52941176,387881.08272058825,95016239.8367347,94556654.53061225,459585.05803571426, 1.1913301348686218
0,24,89166056.58823529,88760528.0,405528.74724264705,94101014.36734694,93627321.46938775,473692.7531887755, 1.1897279302279153
0,25,88510717.76470588,88093935.76470588,416780.9255514706,93324342.36734694,92841564.24489796,482778.6409438776, 1.1776784261067708
0,26,87968774.8235294,87559077.64705883,409697.23529411765,92678439.8367347,92186528.97959183,491910.75765306124, 1.2539806405703227
0,27,87528065.1764706,87106743.29411764,421321.05330882355,92106466.12244898,91603775.02040817,502691.0006377551, 1.300838259855906
0,28,87137884.8235294,86703595.76470588,434289.07352941175,91683364.08163266,91175695.6734694,507668.5911989796, 1.2157817800839743
0,29,86861922.47058824,86427515.05882353,434407.12408088235,91363496.3265306,90850213.06122449,513283.4413265306, 1.1801947911580404
0,30,86680509.64705883,86247860.47058824,432649.07720588235,91108734.04081632,90593577.30612245,515156.9445153061, 1.4600825587908426
0,31,86537621.88235295,86101440.94117647,436181.1580882353,90954188.08163266,90437160.97959183,517026.8711734694, 1.230786915620168
0,32,86427140.94117647,85987777.1764706,439363.6948529412,90844885.3877551,90326207.51020408,518678.48660714284, 1.191736137866974
0,33,86358932.58823529,85918504.23529412,440428.8455882353,90686067.91836734,90166222.36734694,519845.62053571426, 1.1775143543879192
0,34,86315910.94117647,85874474.47058824,441436.6286764706,90659375.34693877,90139035.10204081,520340.4655612245, 1.221814219156901
0,35,86295486.23529412,85852846.11764705,442640.15625,90587138.12244898,90066252.40816326,520885.9349489796, 1.2106407006581625
0,36,86289578.23529412,85847227.29411764,442351.35294117645,90625847.8367347,90105256.0,520592.0338010204, 1.2011239369710287
0,37,84199331.29411764,83733038.47058824,466293.328125,89792734.04081632,89274475.59183674,518258.5261479592, 1.237942385673523
0,38,80084579.76470588,79637525.88235295,447054.6387867647,85929708.40816326,85399563.26530612,530145.2908163265, 1.3274203658103942
0,39,77820641.88235295,77329368.47058824,491273.04595588235,82401887.34693877,81856447.6734694,545440.049744898, 1.2328500986099242
0,40,76692498.11764705,76221449.1764706,471049.11213235295,80693092.40816326,80142820.24489796,550272.1517857143, 1.2063239812850952
0,41,75685587.88235295,75187451.76470588,498136.03400735295,79601763.75510204,79049482.93877551,552280.9413265307, 1.2736572861671447
0,42,73814505.88235295,73342795.1764706,471709.7398897059,78358476.24489796,77804046.53061225,554429.2818877551, 1.1919530351956686
0,43,68288689.41176471,67749812.94117647,538876.5670955882,74876715.10204081,74299706.12244898,577009.0612244898, 1.1872691790262857
0,44,63725455.76470588,63211124.5882353,514331.29411764705,69824834.7755102,69221795.26530612,603039.5943877551, 1.1805633942286173
0,45,61160724.941176474,60622110.11764706,538614.6268382353,66501290.93877551,65883835.428571425,617455.5038265307, 1.1776003162066142
0,46,58541135.76470588,57986907.294117644,554228.8805147059,64061551.346938774,63427491.510204084,634059.8928571428, 1.1859877427419028
0,47,57283824.705882356,56725067.176470585,558757.4678308824,62134302.448979594,61481781.63265306,652520.8073979592, 1.2679728428522745
0,48,56066950.35294118,55483888.705882356,583062.1011029412,60910657.551020406,60247636.08163265,663021.3112244898, 1.2649683674176535
0,49,55002409.058823526,54409684.823529415,592723.8860294118,59856260.32653061,59181877.3877551,674382.9923469388, 1.3267243385314942
0,50,54200923.88235294,53610580.941176474,590342.8952205882,58918141.79591837,58231544.24489796,686597.6862244898, 1.3155439813931784
0,51,53399731.64705882,52765949.76470588,633781.4852941176,58200552.32653061,57505525.87755102,695026.3405612245, 1.3041960994402568
0,52,52675679.176470585,52068221.64705882,607457.4889705882,57351876.24489796,56640473.71428572,711402.213010204, 1.3052404125531514
