fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,0.09336657682196142,0.9519147374966447,0.9088975250170601,0.15988793765189963, 2.877376894156138
0,1,0.07054130482482629,0.9722350736141218,0.9665784130560531,0.0802174084447641, 2.3239118814468385
0,2,0.07266960625550994,0.971286918152295,0.9784321862071631,0.06457130637304576, 2.2867403705914815
0,3,0.06317045743938307,0.9776550638455651,0.9825596637557845,0.05590871543636178, 2.262276836236318
0,4,0.06411616074109013,0.9785312814868469,0.9857970872518285,0.05126487926424, 2.3158982753753663
1,0,0.07576524738664264,0.9700336264349909,0.9099781433929371,0.1588288152053458, 2.3070761720339457
1,1,0.06630457902080095,0.972944485434015,0.9671670078689784,0.08273516059259181, 2.259963782628377
1,2,0.06608656138165056,0.972632192864098,0.9742635619588743,0.06804469783258225, 2.271602177619934
1,3,0.0595481312543876,0.9763279609269728,0.9793258930237454,0.06073902070353625, 2.2726335922876992
1,4,0.058761063717871105,0.9780581404463052,0.9847148944805195,0.051877566768576355, 2.2984750548998516
2,0,0.09129655326963687,0.9562862626309896,0.9175722763048471,0.15225914609380903, 2.3272868196169534
2,1,0.07811349199856726,0.9606538267480904,0.9677787931198588,0.08041938877788049, 2.324015911420186
2,2,0.07677922076373409,0.9631115564666646,0.977610940936958,0.06510966126395225, 2.2786555250485736
2,3,0.06904283029945539,0.970837060461366,0.9832934606119093,0.056445461052444565, 2.3217183709144593
2,4,0.07085999770922116,0.9708116379985278,0.9869214511732394,0.050049054957086815, 2.373595917224884
3,0,0.08297062551184577,0.9633917241190034,0.900663555551832,0.16338243667031543, 2.3102463046709696
3,1,0.06749646165360677,0.9715874601646677,0.9623285238925454,0.08429354119794064, 2.261190632979075
3,2,0.063964596583641,0.9728052314976555,0.9733469371526899,0.06957082025632326, 2.2814798871676127
3,3,0.06300202277857259,0.9743634389052593,0.9813580167661473,0.059149576097031496, 2.310175593694051
3,4,0.05870462671677791,0.9768542461939209,0.984271399344243,0.05375171254468578, 2.3222933491071065
