fold,epoch,valid_loss,valid_recon_loss,valid_kld_loss, train_loss, train_recon_loss, train_kld_loss, time
0,0,1481864.7166024882,1481864.7166024882,0.8466047111775072,1738802.6121889811,1738802.6121889811,0.8154154148976809, 2.994073756535848
0,1,1129965.5198459716,1129965.5198459716,0.8237510904034168,1393282.6212973935,1393282.6212973935,0.8401641030464834, 3.076467029253642
0,2,1045585.1301095971,1045585.1301095971,0.8631613144024288,1071087.8366409952,1071087.8366409952,0.757780341890539, 3.0814653793970743
0,3,1012638.7674763033,1012638.7674763033,0.7984637892782971,1018672.4896327014,1018672.4896327014,0.8201178132746174, 3.0931657751401267
0,4,977550.680242891,977550.680242891,0.7937330899768955,980497.7242298578,980497.7242298578,0.8357715726746202, 3.1137684106826784
0,5,954048.2670319906,954048.2670319906,0.8393442467984995,935609.7123815166,935609.7123815166,0.8388784331450531, 3.11613734960556
0,6,925380.2638477489,925380.2638477489,0.8673260381259907,889340.0632405214,889340.0632405214,0.8675736366766748, 3.1055605530738832
0,7,902479.2089751185,902479.2089751185,0.7529681750983706,848338.0074792654,848338.0074792654,0.833612388423622, 3.1090653419494627
0,8,886807.7398548578,886807.7398548578,0.8508641285583447,814055.1234449052,814055.1234449052,0.8820562040636325, 3.1028262893358867
0,9,870128.3580420616,870128.3580420616,0.7820609080918592,785883.2079754147,785883.2079754147,0.8197318632685319, 3.1113487839698792
0,10,858792.3064277251,858792.3064277251,0.8294840218825927,762941.2240077014,762941.2240077014,0.781534991416886, 3.116187898317973
0,11,851534.9167283768,851534.9167283768,0.784448293112748,745829.2006072275,745829.2006072275,0.8347454394491928, 3.1068145275115966
0,12,845999.6186685427,845999.6186685427,0.8245269522265094,734760.8512292654,734760.8512292654,0.7980590593952562, 3.102467882633209
0,13,845913.5968972156,845913.5968972156,0.805540618738292,726881.9763773697,726881.9763773697,0.8468653848791998, 3.108773684501648
0,14,845539.5308427133,845539.5308427133,0.757237245430243,722505.2289691943,722505.2289691943,0.8381443990315024, 3.103055950005849
0,15,908036.5718305687,908036.5718305687,0.783512112768411,826441.4114706754,826441.4114706754,0.8014228707488397, 3.111557161808014
0,16,874701.4599377962,874701.4599377962,0.9052394536804955,797241.847082346,797241.847082346,0.7746418246478548, 3.102852483590444
0,17,858481.7969490521,858481.7969490521,0.8219370973512742,763872.9560500593,763872.9560500593,0.8018169379859316, 3.112775381406148
0,18,848943.763403436,848943.763403436,0.8216514537437549,741017.2060500593,741017.2060500593,0.8048187433984748, 3.12327200571696
0,19,833234.9658619668,833234.9658619668,0.8796664340094933,724209.8563758886,724209.8563758886,0.8369830727965628, 3.1359930713971456
