fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.3079514890072905,0.6026794331079081,0.5534954935982704,3.313986837863922
0,1,0.296720900591843,0.6065857252552669,0.5954479894464095,3.123602509498596
0,2,0.29812249718043876,0.6006491292692839,0.5948857763446564,2.8167023340861004
0,3,0.29562731921596797,0.6630870883570488,0.6311889341580186,2.7869709134101868
0,4,0.1876398887656325,0.8594774836445769,0.7971771553355744,2.8644664247830707
0,5,0.16691369516299848,0.8917280432116451,0.8835963678215458,2.8458775798479716
0,6,0.15661099710862855,0.9055340568642425,0.9150366086827871,2.910124150911967
fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.31692092880910755,0.5537994364167567,0.5127030946357691,2.914545214176178
0,1,6.042404869989473,0.5205773521298316,0.5005048959302435,2.8357264240582785
0,2,14.290991528910034,0.4998240675580577,0.4987235610436832,2.7866089423497518
fold,epoch,val_loss,val_auc,tr_auc, time
0,0,2.1898187535757923,0.45637171407951066,0.5431847338144071,2.93601735830307
0,1,123.96639498885797,0.49961805126797243,0.5032277385620567,2.819564910729726
fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.3029406143884574,0.6065535059409419,0.5650134543948413,2.997902476787567
0,1,0.21717636382245287,0.8294812645436487,0.6501261344309884,2.9788386742273967
0,2,0.18162378585631295,0.8952774127920569,0.8745818524696574,2.9018243114153544
0,3,0.15919613789729015,0.8998885961010733,0.9188479319334744,2.9546404679616294
0,4,0.17381682278759472,0.9023097651796429,0.9387551006909549,2.9990329066912333
0,5,0.18423645852171644,0.9052975446185054,0.9553501524792541,3.014809004465739
0,6,0.17218065223352488,0.905179869192581,0.970386565398139,3.057579819361369
fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.1658918958974584,0.8969988982493076,0.806103368671911,2.9330841461817423
0,1,0.1557135433481284,0.90759369526463,0.9092345414826208,3.050218359629313
0,2,0.15559685711121682,0.9059400576890568,0.9424098961235082,2.9981746594111125
0,3,0.16458105011035365,0.8957146213945838,0.9669630920900054,2.9758234858512878
0,4,0.2041622704816792,0.893823684822575,0.9847391583451736,2.928735613822937
0,5,0.21740814545595713,0.8798541019532996,0.9930320629616698,2.9772770762443543
0,6,0.22384701644507599,0.8885775562354414,0.9967399603940468,2.9019683241844176
