
fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.18136926429175146,0.8945739078102015,0.6088793466250636,11.686461520195007
0,1,0.11571169656948471,0.9529335760621584,0.924155703610453,11.714470394452412
0,2,0.09488546780467376,0.9589287287787113,0.9498296021011214,11.676747393608093
0,3,0.09110362668597728,0.9630727320300146,0.9647788834226793,11.73907103141149
0,4,0.09641325329929325,0.9585076672976657,0.9724287910887606,11.773914309342702
1,0,0.059875819200117676,0.9801085351681903,0.9666424440859086,11.891052524248758
1,1,0.07034308439933182,0.9704023663438388,0.9767845438875995,11.888997181256611
1,2,0.05949965075646736,0.9792532455260965,0.9830170788473693,11.594581890106202
1,3,0.06490243944619802,0.9754199280911765,0.9879780428275227,11.181341616312663
Final OOF ROC AUC SCORE: 0.848792270531401
Final OOF ROC AUC SCORE: 0.848792270531401
Final OOF ROC AUC SCORE: 0.848792270531401
Final OOF ROC AUC SCORE: 0.848792270531401
