fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.18136926429175146,0.8945739078102015,0.6088793382946848,12.551634057362874
0,1,0.11571169656948471,0.9529335760621584,0.924155462029467,11.806881419817607
0,2,0.09488546780467376,0.9589287287787112,0.9498296062663109,11.960923294226328
0,3,0.09110362668597728,0.9630727320300146,0.9647788834226795,11.87116630077362
0,4,0.09641325329929325,0.9585076672976657,0.9724287994191394,11.848381543159485
0,5,0.0949669393736926,0.9615951018250218,0.9773828632111811,12.008356920878093
0,6,0.0915597775292925,0.9525780022106947,0.9785706336152779,11.847854737440745
1,0,0.30165279048437976,0.6080236817365627,0.5484810566396237,11.791405896345774
1,1,0.29963689671867355,0.6018349243745473,0.592972695285511,11.607495983441671
1,2,0.3094860822038383,0.5682373399134766,0.5875569801602498,11.539498182137807
1,3,0.30142082226443656,0.5989643233605286,0.5966909115387392,11.4190061211586
1,4,0.3000792322528301,0.6006953381052571,0.5966993603078393,11.55731725692749
1,5,0.2985458120665684,0.5934871324841781,0.6233432011680737,11.407172095775604
1,6,0.2978575912741374,0.6015686259511301,0.6342926560175977,11.379898830254872
2,0,0.30239702728862056,0.6019644739455003,0.5543680581796314,12.026780279477437
2,1,0.30981489107468907,0.5696864952877703,0.5816705824011781,11.822094404697419
2,2,0.30123258302254335,0.6048023407263955,0.5606281088940656,11.860471371809641
2,3,0.3106235720939478,0.5711959071484666,0.6025318591673388,11.79650098880132
2,4,0.30496627639751045,0.5808787907966785,0.5656999770221796,11.814229941368103
2,5,0.3020229036444608,0.6005831867979575,0.5831063401553722,11.774070990085601
2,6,0.29892817021784734,0.6160561300982161,0.6060401470350655,11.7714617451032
3,0,0.309268373919993,0.5540698522232308,0.5217704568112512,12.044889001051585
3,1,0.30541217783275915,0.5942725655080031,0.5692485460583137,11.872008121013641
3,2,0.3050359797150809,0.5799538668751665,0.5854027678371506,11.82426849603653
3,3,0.30510438596639705,0.5840568329764169,0.5937447270248225,11.795865615208944
3,4,0.3018832545613452,0.5962446734165324,0.6004264737340861,11.891977024078368
3,5,0.317995378310431,0.6042957519667875,0.6207543261720833,11.7863068262736
3,6,0.3055324365517923,0.6045187592104764,0.605529734915126,11.744318195184071
